,gene_stable_id,gene_type,gene_name,hgnc_name,hgnc_id,hgnc_id_exists,panther_id,tigrfam_id,wikigene_name,gene_description,pid_suffix
743,ENSG00000276910,protein_coding,GTF2H2,GTF2H2,HGNC:4656,True,PTHR12695,TIGR00622,GTF2H2C,general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656],PTHR12695
755,ENSG00000262473,protein_coding,GART,GART,HGNC:4163,True,PTHR43369,TIGR00639,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]",PTHR43369
880,ENSG00000276482,protein_coding,SLC12A7,SLC12A7,HGNC:10915,True,PTHR11827,TIGR00930,SLC12A7,solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915],PTHR11827
881,ENSG00000276482,protein_coding,SLC12A7,SLC12A7,HGNC:10915,True,PTHR11827:SF47,TIGR00930,SLC12A7,solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915],SF47
992,ENSG00000273494,protein_coding,PANK4,PANK4,HGNC:19366,True,PTHR12280,TIGR00555,PANK4,pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366],PTHR12280
994,ENSG00000276536,protein_coding,HRAS,HRAS,HGNC:5173,True,PTHR24070,TIGR00231,HRAS,"HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]",PTHR24070
995,ENSG00000276536,protein_coding,HRAS,HRAS,HGNC:5173,True,PTHR24070:SF385,TIGR00231,HRAS,"HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]",SF385
1074,ENSG00000274078,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
1075,ENSG00000277359,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
1076,ENSG00000277359,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
1095,ENSG00000274005,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
1096,ENSG00000274005,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
1117,ENSG00000273896,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
1118,ENSG00000262785,protein_coding,PKLR,PKLR,HGNC:9020,True,PTHR11817,TIGR01064,PKLR,pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020],PTHR11817
1119,ENSG00000262785,protein_coding,PKLR,PKLR,HGNC:9020,True,PTHR11817:SF31,TIGR01064,PKLR,pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020],SF31
1211,ENSG00000262771,protein_coding,SSBP1,SSBP1,HGNC:11317,True,PTHR10302:SF0,TIGR00621,SSBP1,single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317],SF0
1212,ENSG00000262771,protein_coding,SSBP1,SSBP1,HGNC:11317,True,PTHR10302,TIGR00621,SSBP1,single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317],PTHR10302
1263,ENSG00000276618,protein_coding,RAD17,RAD17,HGNC:9807,True,PTHR12172:SF2,TIGR00602,RAD17,RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807],SF2
1264,ENSG00000276618,protein_coding,RAD17,RAD17,HGNC:9807,True,PTHR12172,TIGR00602,RAD17,RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807],PTHR12172
1307,ENSG00000274796,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
1364,ENSG00000275917,protein_coding,CHRFAM7A,CHRFAM7A,HGNC:15781,True,PTHR18945:SF845,TIGR00860,CHRFAM7A,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781],SF845
1365,ENSG00000275917,protein_coding,CHRFAM7A,CHRFAM7A,HGNC:15781,True,PTHR18945,TIGR00860,CHRFAM7A,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781],PTHR18945
1398,ENSG00000278081,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
1399,ENSG00000278081,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
1406,ENSG00000278270,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
1407,ENSG00000278270,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
1456,ENSG00000274626,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
1457,ENSG00000274626,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
1459,ENSG00000275165,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
1530,ENSG00000275744,protein_coding,SLC2A11,SLC2A11,HGNC:14239,True,PTHR23503,TIGR00879,SLC2A11,solute carrier family 2 member 11 [Source:HGNC Symbol;Acc:HGNC:14239],PTHR23503
1531,ENSG00000275744,protein_coding,SLC2A11,SLC2A11,HGNC:14239,True,PTHR23503:SF22,TIGR00879,SLC2A11,solute carrier family 2 member 11 [Source:HGNC Symbol;Acc:HGNC:14239],SF22
1651,ENSG00000275045,protein_coding,GTF2H2,GTF2H2,HGNC:4656,True,PTHR12695,TIGR00622,GTF2H2,general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656],PTHR12695
1652,ENSG00000275045,protein_coding,GTF2H2,GTF2H2,HGNC:4656,True,PTHR12695,TIGR00622,GTF2H2C,general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656],PTHR12695
1692,ENSG00000274542,protein_coding,,,,False,PTHR18945,TIGR00860,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit [Source:NCBI gene (formerly Entrezgene);Acc:1139],PTHR18945
1693,ENSG00000274542,protein_coding,,,,False,PTHR18945:SF845,TIGR00860,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit [Source:NCBI gene (formerly Entrezgene);Acc:1139],SF845
1698,ENSG00000278191,protein_coding,CARS1,CARS1,HGNC:1493,True,PTHR10890:SF3,TIGR00435,CARS1,cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493],SF3
1699,ENSG00000278191,protein_coding,CARS1,CARS1,HGNC:1493,True,PTHR10890,TIGR00435,CARS1,cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493],PTHR10890
1777,ENSG00000263014,protein_coding,ATP6V1G3,ATP6V1G3,HGNC:18265,True,PTHR12713,TIGR01147,ATP6V1G3,ATPase H+ transporting V1 subunit G3 [Source:HGNC Symbol;Acc:HGNC:18265],PTHR12713
1778,ENSG00000263014,protein_coding,ATP6V1G3,ATP6V1G3,HGNC:18265,True,PTHR12713:SF5,TIGR01147,ATP6V1G3,ATPase H+ transporting V1 subunit G3 [Source:HGNC Symbol;Acc:HGNC:18265],SF5
1901,ENSG00000274672,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
1903,ENSG00000274675,protein_coding,GTF2H2C_2,GTF2H2C_2,HGNC:35418,True,PTHR12695,TIGR00622,,"GTF2H2 family member C, copy 2 [Source:HGNC Symbol;Acc:HGNC:35418]",PTHR12695
2000,ENSG00000226651,protein_coding,CLIC1,CLIC1,HGNC:2062,True,PTHR43920,TIGR00862,CLIC1,chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062],PTHR43920
2001,ENSG00000226651,protein_coding,CLIC1,CLIC1,HGNC:2062,True,PTHR43920:SF2,TIGR00862,CLIC1,chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062],SF2
2010,ENSG00000224264,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],PTHR11946
2011,ENSG00000224264,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946:SF110,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],SF110
2049,ENSG00000275323,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
2050,ENSG00000275323,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
2056,ENSG00000278712,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
2070,ENSG00000276657,protein_coding,PYCR3,PYCR3,HGNC:25846,True,PTHR11645:SF22,TIGR00112,PYCR3,pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846],SF22
2071,ENSG00000276657,protein_coding,PYCR3,PYCR3,HGNC:25846,True,PTHR11645,TIGR00112,PYCR3,pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846],PTHR11645
2080,ENSG00000277079,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
2081,ENSG00000277079,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
2152,ENSG00000232367,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",PTHR24221
2153,ENSG00000232367,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221:SF249,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",SF249
2180,ENSG00000236873,protein_coding,AGPAT1,AGPAT1,HGNC:324,True,PTHR10434:SF46,TIGR00530,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324],SF46
2181,ENSG00000236873,protein_coding,AGPAT1,AGPAT1,HGNC:324,True,PTHR10434,TIGR00530,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324],PTHR10434
2354,ENSG00000274646,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
2355,ENSG00000274646,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
2435,ENSG00000278605,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
2439,ENSG00000227816,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",PTHR24221
2440,ENSG00000227816,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221:SF249,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",SF249
2497,ENSG00000231116,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],PTHR11946
2498,ENSG00000231116,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946:SF110,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],SF110
2579,ENSG00000274081,protein_coding,PUF60,PUF60,HGNC:17042,True,PTHR47330,TIGR01645,PUF60,poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042],PTHR47330
2580,ENSG00000274081,protein_coding,PUF60,PUF60,HGNC:17042,True,PTHR47330:SF2,TIGR01645,PUF60,poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042],SF2
2588,ENSG00000226384,protein_coding,GTF2H4,GTF2H4,HGNC:4658,True,PTHR13152,TIGR00625,,general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658],PTHR13152
2626,ENSG00000274129,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
2708,ENSG00000274950,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],PTHR11831
2709,ENSG00000274950,protein_coding,RPS9,RPS9,HGNC:10442,True,PTHR11831:SF23,TIGR01018,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],SF23
2723,ENSG00000096171,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],PTHR11946
2724,ENSG00000096171,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946:SF110,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],SF110
2836,ENSG00000198692,protein_coding,EIF1AY,EIF1AY,HGNC:3252,True,PTHR21668:SF17,TIGR00523,EIF1AY,eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252],SF17
2837,ENSG00000198692,protein_coding,EIF1AY,EIF1AY,HGNC:3252,True,PTHR21668,TIGR00523,EIF1AY,eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252],PTHR21668
2866,ENSG00000278488,protein_coding,NAPRT,NAPRT,HGNC:30450,True,PTHR11098:SF1,TIGR01513,NAPRT,nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450],SF1
2867,ENSG00000278488,protein_coding,NAPRT,NAPRT,HGNC:30450,True,PTHR11098,TIGR01513,NAPRT,nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450],PTHR11098
2938,ENSG00000230685,protein_coding,CLIC1,CLIC1,HGNC:2062,True,PTHR43920,TIGR00862,CLIC1,chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062],PTHR43920
2939,ENSG00000230685,protein_coding,CLIC1,CLIC1,HGNC:2062,True,PTHR43920:SF2,TIGR00862,CLIC1,chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062],SF2
2969,ENSG00000274348,protein_coding,TRPV5,TRPV5,HGNC:3145,True,PTHR10582:SF11,TIGR00870,TRPV5,transient receptor potential cation channel subfamily V member 5 [Source:HGNC Symbol;Acc:HGNC:3145],SF11
2970,ENSG00000274348,protein_coding,TRPV5,TRPV5,HGNC:3145,True,PTHR10582,TIGR00870,TRPV5,transient receptor potential cation channel subfamily V member 5 [Source:HGNC Symbol;Acc:HGNC:3145],PTHR10582
3032,ENSG00000276971,protein_coding,TRPV6,TRPV6,HGNC:14006,True,PTHR10582:SF11,TIGR00870,TRPV6,transient receptor potential cation channel subfamily V member 6 [Source:HGNC Symbol;Acc:HGNC:14006],SF11
3033,ENSG00000276971,protein_coding,TRPV6,TRPV6,HGNC:14006,True,PTHR10582,TIGR00870,TRPV6,transient receptor potential cation channel subfamily V member 6 [Source:HGNC Symbol;Acc:HGNC:14006],PTHR10582
3097,ENSG00000275331,protein_coding,ABCC6,ABCC6,HGNC:57,True,PTHR24223,TIGR00957,ABCC6,ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57],PTHR24223
3098,ENSG00000275331,protein_coding,ABCC6,ABCC6,HGNC:57,True,PTHR24223:SF339,TIGR00957,ABCC6,ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57],SF339
3161,ENSG00000278622,protein_coding,TSEN34,TSEN34,HGNC:15506,True,PTHR13070,TIGR00324,TSEN34,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506],PTHR13070
3361,ENSG00000226467,protein_coding,AGPAT1,AGPAT1,HGNC:324,True,PTHR10434:SF46,TIGR00530,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324],SF46
3362,ENSG00000226467,protein_coding,AGPAT1,AGPAT1,HGNC:324,True,PTHR10434,TIGR00530,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324],PTHR10434
3374,ENSG00000278183,protein_coding,ABCC1,ABCC1,HGNC:51,True,PTHR24223,TIGR00957,ABCC1,ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51],PTHR24223
3375,ENSG00000278183,protein_coding,ABCC1,ABCC1,HGNC:51,True,PTHR24223:SF241,TIGR00957,ABCC1,ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51],SF241
3423,ENSG00000232326,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221:SF237,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",SF237
3424,ENSG00000232326,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",PTHR24221
3440,ENSG00000225967,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",PTHR24221
3441,ENSG00000225967,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221:SF237,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",SF237
3448,ENSG00000274853,protein_coding,MRM1,MRM1,HGNC:26202,True,PTHR46103:SF1,TIGR00186,MRM1,mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202],SF1
3449,ENSG00000274853,protein_coding,MRM1,MRM1,HGNC:26202,True,PTHR46103,TIGR00186,MRM1,mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202],PTHR46103
3461,ENSG00000262217,protein_coding,SLC5A8,SLC5A8,HGNC:19119,True,PTHR42985:SF10,TIGR00813,SLC5A8,solute carrier family 5 member 8 [Source:HGNC Symbol;Acc:HGNC:19119],SF10
3462,ENSG00000262217,protein_coding,SLC5A8,SLC5A8,HGNC:19119,True,PTHR42985,TIGR00813,SLC5A8,solute carrier family 5 member 8 [Source:HGNC Symbol;Acc:HGNC:19119],PTHR42985
3531,ENSG00000226589,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],PTHR11946
3532,ENSG00000226589,protein_coding,VARS1,VARS1,HGNC:12651,True,PTHR11946:SF110,TIGR00422,VARS1,valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651],SF110
3602,ENSG00000226173,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",PTHR24221
3603,ENSG00000226173,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221:SF249,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",SF249
3612,ENSG00000234370,protein_coding,GTF2H4,GTF2H4,HGNC:4658,True,PTHR13152,TIGR00625,,general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658],PTHR13152
3664,ENSG00000206235,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",PTHR24221
3665,ENSG00000206235,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221:SF237,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",SF237
3807,ENSG00000236178,protein_coding,VARS2,VARS2,HGNC:21642,True,PTHR11946,TIGR00422,VARS2,"valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]",PTHR11946
3808,ENSG00000236178,protein_coding,VARS2,VARS2,HGNC:21642,True,PTHR11946:SF71,TIGR00422,VARS2,"valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]",SF71
3983,ENSG00000234920,protein_coding,ATP6V1G2,ATP6V1G2,HGNC:862,True,PTHR12713,TIGR01147,ATP6V1G2,ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862],PTHR12713
3984,ENSG00000234920,protein_coding,ATP6V1G2,ATP6V1G2,HGNC:862,True,PTHR12713:SF13,TIGR01147,ATP6V1G2,ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862],SF13
3987,ENSG00000228582,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",PTHR24221
3988,ENSG00000228582,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221:SF237,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",SF237
4000,ENSG00000223481,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221:SF237,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",SF237
4001,ENSG00000223481,protein_coding,TAP2,TAP2,HGNC:44,True,PTHR24221,TIGR00958,TAP2,"transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]",PTHR24221
4077,ENSG00000224748,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221:SF249,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",SF249
4078,ENSG00000224748,protein_coding,TAP1,TAP1,HGNC:43,True,PTHR24221,TIGR00958,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",PTHR24221
4130,ENSG00000234032,protein_coding,VARS2,VARS2,HGNC:21642,True,PTHR11946:SF71,TIGR00422,VARS2,"valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]",SF71
